"x","y","marks"
"1",0.130817983299494,0.73961066105403,"m"
"2",0.264615421183407,0.181988209486008,"c"
"3",0.051579816499725,0.926126087084413,"c"
"4",0.945088798180223,0.398265852825716,"m"
"5",0.488241908373311,0.789164008805528,"b"
"6",0.641729649156332,0.935779181541875,"y"
"7",0.422498567728326,0.170573077397421,"y"
"8",0.739188561215997,0.891731461510062,"c"
"9",0.829931052634493,0.0509498442988843,"c"
"10",0.88440565369092,0.726709638722241,"m"
"11",0.214992257999256,0.920064097037539,"c"
"12",0.0677939867600799,0.250173699343577,"m"
"13",0.0417492147535086,0.0233078533783555,"c"
"14",0.366137980017811,0.629540291382,"b"
"15",0.548680318053812,0.399035305017605,"y"
"16",0.0138818628620356,0.739326109876856,"c"
"17",0.919441723730415,0.9868026713375,"m"
"18",0.878497808240354,0.974301243200898,"c"
"19",0.0562579345423728,0.50435308739543,"y"
"20",0.13930716807954,0.530117271235213,"c"
"21",0.50189352966845,0.737502641044557,"m"
"22",0.117173228878528,0.600349540123716,"m"
"23",0.21516607911326,0.588856817455962,"m"
"24",0.98840864864178,0.810646683210507,"c"
"25",0.187748531578109,0.904322504298761,"b"
"26",0.82768681878224,0.359113456914201,"b"
"27",0.228206580039114,0.0470835722517222,"c"
"28",0.395857232389972,0.000186481280252337,"b"
"29",0.0823464528657496,0.571614355081692,"c"
"30",0.722044854890555,0.265528470044956,"y"
"31",0.785538640571758,0.308564518578351,"y"
"32",0.142764963442460,0.582672974327579,"m"
"33",0.834210239117965,0.882975727552548,"b"
"34",0.297924000537023,0.777415566612035,"c"
"35",0.537117335246876,0.0998092317022383,"c"
"36",0.233337707817554,0.36637599626556,"y"
"37",0.283753879601136,0.270778003381565,"b"
"38",0.41586926067248,0.116588514763862,"y"
"39",0.209818104514852,0.698586258804426,"b"
"40",0.00916458060964942,0.695695501752198,"y"
"41",0.67396801081486,0.126296331873164,"m"
"42",0.229821137851104,0.0193066757638007,"c"
"43",0.859256310854107,0.0806572707369924,"b"
"44",0.692136996192858,0.607683188980445,"c"
"45",0.0774827899876982,0.852189347613603,"m"
"46",0.870498606935143,0.399694100255147,"m"
"47",0.169984462903813,0.413972076727077,"m"
"48",0.52204550197348,0.657834438607097,"y"
"49",0.871469848556444,0.368877792963758,"y"
"50",0.557473082793877,0.168412867933512,"y"
"51",0.851990812690929,0.665554997045547,"b"
