"x","y","marks"
"1",0.91320057446137,0.35118638840504,"c"
"2",0.590430319076404,0.153430175036192,"y"
"3",0.520419782027602,0.118345885071903,"y"
"4",0.0822361831087619,0.608588753966615,"m"
"5",0.707286613993347,0.921577996108681,"c"
"6",0.0578708674293011,0.0251965513452888,"b"
"7",0.94090470392257,0.605292481603101,"y"
"8",0.84508716640994,0.547059578821063,"m"
"9",0.136135225417092,0.379820846021175,"c"
"10",0.87472904799506,0.487001921748742,"m"
"11",0.703369459835812,0.708457662956789,"c"
"12",0.563779827207327,0.604664801154286,"y"
"13",0.462616537930444,0.144678703974932,"b"
"14",0.981244967319071,0.82420501857996,"y"
"15",0.32076251367107,0.681365509517491,"b"
"16",0.913375932257622,0.259644443867728,"b"
"17",0.159811650868505,0.737467186059803,"c"
"18",0.583813717821613,0.917698078323156,"y"
"19",0.254175308160484,0.341980314813554,"c"
"20",0.276656335219741,0.735929819755256,"y"
"21",0.167116329539567,0.579831015784293,"y"
"22",0.9742003637366,0.378534148912877,"m"
"23",0.265015830751508,0.72800759668462,"b"
"24",0.828850412508473,0.840475498465821,"m"
"25",0.165961254620925,0.238050683867186,"y"
"26",0.102617996977642,0.0912306918762624,"y"
"27",0.665819770190865,0.205955452984199,"y"
"28",0.398869087919593,0.288973812246695,"b"
"29",0.177566794911399,0.363576997304335,"m"
"30",0.997038152068853,0.561729736858979,"m"
"31",0.410527274711058,0.234796927776188,"y"
"32",0.733855221420527,0.43963236710988,"c"
"33",0.270529596600682,0.921052834484726,"y"
"34",0.443209111923352,0.795928692445159,"m"
"35",0.52257914817892,0.713522816309705,"m"
"36",0.0477270414121449,0.399009473389015,"y"
"37",0.604015939868987,0.547812649747357,"y"
"38",0.116336786188185,0.121935650706291,"c"
"39",0.09898067638278,0.592183748492971,"m"
"40",0.690221912926063,0.558784423163161,"b"
"41",0.628130295546725,0.617878980701789,"m"
"42",0.71454436890781,0.736048474907875,"y"
"43",0.312827612506226,0.0506176040507853,"m"
"44",0.105079177068546,0.323289767839015,"b"
"45",0.930197396082804,0.47886237478815,"c"
"46",0.719537661643699,0.353637249674648,"c"
"47",0.743165103020146,0.673629679717124,"b"
"48",0.777938381303102,0.842752686236054,"c"
"49",0.4377712525893,0.188942531123757,"m"
"50",0.0936966142617166,0.86722771381028,"m"
"51",0.563096816185862,0.392138859955594,"b"
"52",0.475073606241494,0.841562632471323,"m"
"53",0.332085326081142,0.747110711177811,"m"
"54",0.432522832183167,0.836363728856668,"c"
"55",0.489593200618401,0.265357605880126,"b"
"56",0.622609123354778,0.826922601554543,"m"
"57",0.210771292680874,0.850138807669282,"c"
"58",0.567402727203444,0.434159551281482,"y"
"59",0.0204187659546733,0.526466487674043,"m"
"60",0.90686022490263,0.128624146105722,"b"
"61",0.52061474067159,0.0606790471356362,"y"
"62",0.96089439559728,0.929469865979627,"m"
"63",0.710273484932259,0.0575537323020399,"c"
"64",0.191664230776951,0.47147436439991,"y"
"65",0.641013196203858,0.332598733715713,"b"
"66",0.892862543696538,0.441731959814206,"c"
"67",0.688348925439641,0.160641337977722,"m"
"68",0.78233230416663,0.315252105006948,"y"
"69",0.328190562780946,0.706207399722189,"y"
"70",0.944494908908382,0.500296177808195,"y"
"71",0.661596393911168,0.254212673520669,"b"
"72",0.80609605065547,0.27334817009978,"y"
"73",0.487039649859071,0.243595081148669,"y"
"74",0.656219223281369,0.847368325805292,"y"
"75",0.967914908193052,0.701469070278108,"c"
"76",0.627201321301982,0.431710191071033,"c"
"77",0.483161099953577,0.679794881725684,"c"
"78",0.0372720134910196,0.789622764103115,"m"
"79",0.508023992646486,0.915922454092652,"c"
"80",0.958743009949103,0.989992729388177,"m"
"81",0.753093046834692,0.401993220439181,"c"
"82",0.254677579505369,0.381263219751418,"m"
"83",0.329160792753100,0.867352603236213,"y"
"84",0.637990723829716,0.481204071780667,"b"
"85",0.0485036054160446,0.888537969673052,"y"
"86",0.43728644750081,0.0294432528316975,"m"
"87",0.241708061657846,0.0632995783817023,"b"
"88",0.125921454280615,0.211049550445750,"m"
"89",0.600543602602556,0.909567597089335,"b"
"90",0.96041047340259,0.732752847718075,"c"
"91",0.239536773180589,0.661205616081133,"m"
"92",0.64608727232553,0.30424429778941,"c"
"93",0.873212375678122,0.716375454794616,"y"
"94",0.215737030608580,0.338206524029374,"m"
"95",0.981267737457529,0.521790525177494,"c"
"96",0.830677438760176,0.183178014820442,"c"
"97",0.910052261082456,0.361504390602931,"c"
"98",0.156343246577308,0.801627388456836,"m"
"99",0.765792262507603,0.716898216400295,"c"
"100",0.917309165000916,0.650978287216276,"c"
